method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,1048576,18,1.925,519.357
file-disk,1048576,19,2.031,492.399
file-disk,1048576,20,2.001,499.844
file-disk,2097152,1,3.593,556.651
file-disk,2097152,2,2.678,746.942
file-disk,2097152,3,3.647,548.371
file-disk,2097152,4,2.713,737.237
file-disk,2097152,5,2.855,700.638
file-disk,2097152,6,2.434,821.636
file-disk,2097152,7,3.474,575.636
file-disk,2097152,8,3.070,651.377
file-disk,2097152,9,3.765,531.250
file-disk,2097152,10,2.567,779.006
file-disk,2097152,11,2.402,832.697
file-disk,2097152,12,3.429,583.345
file-disk,2097152,13,4.078,490.462
file-disk,2097152,14,2.659,752.139
file-disk,2097152,15,2.935,681.470
file-disk,2097152,16,2.856,700.372
file-disk,2097152,17,4.768,419.503
file-disk,2097152,18,3.168,631.297
file-disk,2097152,19,2.489,803.549
file-disk,2097152,20,2.687,744.325
file-disk,4194304,1,5.945,672.839
file-disk,4194304,2,4.883,819.252
file-disk,4194304,3,4.647,860.778
file-disk,4194304,4,4.596,870.354
file-disk,4194304,5,5.845,684.292
file-disk,4194304,6,4.000,1000.031
file-disk,4194304,7,4.255,940.144
file-disk,4194304,8,4.207,950.872
file-disk,4194304,9,9.318,429.261
file-disk,4194304,10,5.573,717.703
file-disk,4194304,11,5.049,792.249
file-disk,4194304,12,4.597,870.220
file-disk,4194304,13,6.462,618.983
file-disk,4194304,14,5.307,753.733
file-disk,4194304,15,4.660,858.300
file-disk,4194304,16,4.548,879.524
file-disk,4194304,17,5.499,727.383
file-disk,4194304,18,5.948,672.514
file-disk,4194304,19,4.663,857.756
file-disk,4194304,20,5.426,737.259
file-disk,8388608,1,11.973,668.179
file-disk,8388608,2,12.579,635.964
file-disk,8388608,3,16.495,484.981
file-disk,8388608,4,14.207,563.083
file-disk,8388608,5,14.985,533.885
file-disk,8388608,6,11.407,701.301
file-disk,8388608,7,18.724,427.249
file-disk,8388608,8,12.949,617.816
file-disk,8388608,9,16.631,481.027
file-disk,8388608,10,14.000,571.435
file-disk,8388608,11,14.239,561.826
file-disk,8388608,12,14.086,567.958
file-disk,8388608,13,14.607,547.695
file-disk,8388608,14,13.143,608.710
file-disk,8388608,15,13.477,593.624
file-disk,8388608,16,10.846,737.599
file-disk,8388608,17,11.780,679.098
file-disk,8388608,18,12.858,622.175
file-disk,8388608,19,12.970,616.812
file-disk,8388608,20,10.242,781.063
