method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,1048576,14,3.543,282.243
file-disk,1048576,15,40.880,24.462
file-disk,1048576,16,4.083,244.923
file-disk,1048576,17,3.589,278.600
file-disk,1048576,18,3.812,262.324
file-disk,1048576,19,3.201,312.386
file-disk,1048576,20,3.568,280.285
file-disk,2097152,1,3.446,580.404
file-disk,2097152,2,4.499,444.576
file-disk,2097152,3,4.757,420.415
file-disk,2097152,4,5.335,374.862
file-disk,2097152,5,4.492,445.224
file-disk,2097152,6,6.376,313.680
file-disk,2097152,7,3.800,526.264
file-disk,2097152,8,3.567,560.649
file-disk,2097152,9,4.555,439.074
file-disk,2097152,10,35.729,55.977
file-disk,2097152,11,4.511,443.406
file-disk,2097152,12,3.777,529.486
file-disk,2097152,13,3.489,573.251
file-disk,2097152,14,5.688,351.597
file-disk,2097152,15,3.644,548.797
file-disk,2097152,16,4.493,445.145
file-disk,2097152,17,3.833,521.733
file-disk,2097152,18,6.384,313.298
file-disk,2097152,19,3.586,557.731
file-disk,2097152,20,4.623,432.662
file-disk,4194304,1,4.814,830.917
file-disk,4194304,2,5.249,762.044
file-disk,4194304,3,39.743,100.646
file-disk,4194304,4,5.955,671.714
file-disk,4194304,5,5.467,731.657
file-disk,4194304,6,5.736,697.325
file-disk,4194304,7,6.450,620.195
file-disk,4194304,8,5.650,708.017
file-disk,4194304,9,5.511,725.854
file-disk,4194304,10,5.585,716.199
file-disk,4194304,11,4.611,867.561
file-disk,4194304,12,8.523,469.293
file-disk,4194304,13,41.377,96.673
file-disk,4194304,14,7.313,546.949
file-disk,4194304,15,10.712,373.413
file-disk,4194304,16,6.423,622.766
file-disk,4194304,17,30.515,131.084
file-disk,4194304,18,42.830,93.393
file-disk,4194304,19,14.080,284.090
file-disk,4194304,20,82.039,48.758
file-disk,8388608,1,17.503,457.078
file-disk,8388608,2,19.560,408.989
file-disk,8388608,3,20.330,393.516
file-disk,8388608,4,40.710,196.511
file-disk,8388608,5,10.501,761.826
file-disk,8388608,6,19.134,418.097
file-disk,8388608,7,21.222,376.970
file-disk,8388608,8,48.557,164.756
file-disk,8388608,9,40.837,195.903
file-disk,8388608,10,12.823,623.867
file-disk,8388608,11,28.090,284.798
file-disk,8388608,12,20.041,399.181
file-disk,8388608,13,8.614,928.757
file-disk,8388608,14,16.079,497.532
file-disk,8388608,15,18.521,431.943
file-disk,8388608,16,19.907,401.863
file-disk,8388608,17,15.391,519.784
file-disk,8388608,18,15.163,527.604
file-disk,8388608,19,10.041,796.723
file-disk,8388608,20,10.354,772.630
file-disk,16777216,1,12.968,1233.798
file-disk,16777216,2,15.708,1018.581
file-disk,16777216,3,14.957,1069.751
file-disk,16777216,4,19.287,829.562
file-disk,16777216,5,13.277,1205.088
file-disk,16777216,6,12.246,1306.580
file-disk,16777216,7,14.866,1076.290
file-disk,16777216,8,17.405,919.281
